Site,Year,MeanTmean,MeanTmax,MeanTmin,CumPrecip,MeanVPD,MeanTmean_normal,MeanTmax_normal,MeanTmin_normal,MeanVPD_normal,CumPrecip_normal,MeanTmean_z,MeanTmax_z,MeanTmin_z,CumPrecip_z,MeanVPD_z,PC1,PC2,PC3,PC4,PC5
CH,2012,18.6868421052632,24.8754385964912,12.490350877193,308.33,24.6734210526316,12.968897959183671,19.372448979591837,6.564857142857143,16.244122448979592,665.946,13.10948036368022,7.392223874542884,9.447135936542203,-1.643852771180718,3.7986024520433856,-17.91753407417258,2.1892348161323016,0.8141437095729307,-2.4650614417259398,0.5597542960552411
CH,2017,17.7814159292035,23.7725663716814,11.7840707964602,425.13,22.0503539823009,12.968897959183671,19.372448979591837,6.564857142857143,16.244122448979592,665.946,11.033617715746686,5.910724006585141,8.321099148537296,-1.106958438505704,2.616536247754984,-14.942158930714793,2.5643950224242316,0.38431726487392404,-1.9502963450491921,0.4405646423367173
CH,2018,18.3038461538462,24.3707692307692,12.239230769230799,452.69,22.2573846153846,12.968897959183671,19.372448979591837,6.564857142857143,16.244122448979592,665.946,12.231388906995967,6.714296203630322,9.04677000879324,-0.9802734401450584,2.7098331052348112,-16.440905386611806,2.9947973543519666,0.6224150715895642,-2.263909097957651,0.22794982263149532
CH,2021,18.1895104895105,23.0496503496503,13.3265734265734,659.1,19.3988811188811,12.968897959183671,19.372448979591837,6.564857142857143,16.244122448979592,665.946,11.969252532770469,4.939623305079748,10.780342661818398,-0.0314689948757975,1.4216691782518005,-15.93922477202186,5.368965131327007,-0.45146398736579485,-1.269615301934305,1.095623285776675
CH,2022,17.5842975206612,23.3471074380165,11.8314049586777,857.23,19.4138016528926,12.968897959183671,19.372448979591837,6.564857142857143,16.244122448979592,665.946,10.58168607037079,5.339200542790691,8.39656497213945,0.879274790508625,1.4283930089934629,-13.770696020667044,4.535197971984356,1.0291771756237744,-1.5858882571011155,0.14331728157397516
HM,2017,13.5111111111111,20.9969696969697,6.01111111111111,209.94,18.6655555555556,9.344040816326531,17.01326530612245,1.6744489795918367,15.819142857142856,540.522,9.039419863232768,6.8593891558804625,12.31029837368892,-2.4017506441201584,3.06473906640693,-16.86110419689733,2.2739375614397814,-1.3978328192555278,2.0050891582076464,0.15767977566200297
HM,2018,14.5595238095238,22.2365079365079,6.85396825396825,364.75,20.2063492063492,9.344040816326531,17.01326530612245,1.6744489795918367,15.819142857142856,540.522,11.3136897700204,8.993702931300726,14.702881102132038,-1.277022082927348,4.723715116328336,-20.808843208536793,3.0654681192658635,0.32319212065259384,2.531420973647597,0.296066668704027
HM,2021,13.6910828025478,21.0152866242038,6.36433121019108,514.99,18.0322929936306,9.344040816326531,17.01326530612245,1.6744489795918367,15.819142857142856,540.522,9.42982356830792,6.8909283765935525,13.312969248059078,-0.18549557279487683,2.3829038167585788,-17.09346122812306,4.543835388665193,-0.3810917030739265,2.5251075498691122,8.235967809522293e-5
HM,2022,13.8113402061856,21.3587628865979,6.27319587628866,246.01,19.309175257732,9.344040816326531,17.01326530612245,1.6744489795918367,15.819142857142856,540.522,9.690692016940732,7.4823470960601774,13.054267251292842,-2.1396941929721405,3.7577258726663176,-18.1003493260787,2.3611142693039358,-0.855879870476929,2.230307498261025,0.32157435619926056
JC,2012,13.2717948717949,20.2653846153846,6.25897435897436,106.16,18.9928205128205,7.78130612244898,14.170367346938775,1.3918367346938776,10.855551020408164,523.844,6.636312933075283,6.515503239004014,5.819626821810241,-4.246471585473428,3.0748192038046405,-11.89172163298586,-1.9915895833254489,-0.9611362531816974,-0.6015900857427662,-1.0873620452028245
JC,2017,12.6081395348837,19.4011627906977,5.81395348837209,133.33,16.8996511627907,7.78130612244898,14.170367346938775,1.3918367346938776,10.855551020408164,523.844,5.8341576612021004,5.591660065151731,5.287516247845286,-3.970242108219539,2.2838760845816237,-10.42057222231204,-1.5655121653334951,-1.3263407745553872,-0.5534498308715865,-1.0659071221446317
JC,2018,14.4026086956522,21.0408695652174,7.76,286.81,18.594,7.78130612244898,14.170367346938775,1.3918367346938776,10.855551020408164,523.844,8.003119195096769,7.344487715978735,7.614400209182679,-2.409855646352526,2.9241174268959167,-13.738010845100568,0.11223943506113843,0.10200479737656143,-0.17332054035107047,-1.2419297524193813
JC,2021,12.6908163265306,18.9295918367347,6.45204081632653,291.18,13.1902040816327,7.78130612244898,14.170367346938775,1.3918367346938776,10.855551020408164,523.844,5.934088484616838,5.087556148355184,6.050476002649805,-2.3654271290319704,0.8821922480960317,-10.013878903350266,0.6832239385696046,-1.2336186227464974,-0.2535226093018281,-1.3220241937721207
MM,2012,14.9677083333333,21.1583333333333,8.77395833333333,185.63,20.5659375,8.886244897959184,15.235510204081631,2.53734693877551,10.908775510204082,331.68,6.359315452826587,8.096178184402284,4.782651003755191,-2.532601013064006,7.863237610626732,-12.836570384955179,-4.458415504418102,3.506921516820096,0.32044009166533893,0.2261194883069786
MM,2017,14.1559139784946,20.2881720430108,8.00215053763441,232.8,18.932688172043,8.886244897959184,15.235510204081631,2.53734693877551,10.908775510204082,331.68,5.510431555043923,6.906714865663862,4.190777132629182,-1.7146428495157062,6.533382363640893,-10.936138883229532,-3.357882001714439,3.2044892742466358,0.30756425338572346,0.13195398916923873
MM,2018,15.8731092436975,21.8924369747899,9.85210084033613,325.34,20.827731092437,8.886244897959184,15.235510204081631,2.53734693877551,10.908775510204082,331.68,7.306082635013571,9.099658071839364,5.609442833018056,-0.10993968108747608,8.07640015511411,-13.949660333291964,-2.7222442364261275,5.521879736399214,0.6217483927452132,-0.08620676208054867
MM,2021,14.0874074074074,20.1340740740741,8.03851851851852,291.28,17.8477037037037,8.886244897959184,15.235510204081631,2.53734693877551,10.908775510204082,331.68,5.438795031900344,6.696071294660647,4.218666534305182,-0.7005620056678256,5.6499457300412805,-10.38917710327367,-2.179156464138826,3.4346696702309263,0.32034485921487665,-0.2106728156457507
MM,2022,13.375,20.4619047619048,6.28214285714286,211.46,19.8786904761905,8.886244897959184,15.235510204081631,2.53734693877551,10.908775510204082,331.68,4.6938389069844515,7.144198075601321,2.871760131385866,-2.084692186172919,7.303654303323801,-10.080898651849385,-4.8165289603713255,3.7606724322324956,0.20423514000892196,0.012875713271885303
PL,2012,14.8247619047619,21.8761904761905,7.77333333333333,178.23,20.0920952380952,10.678775510204082,17.031224489795918,4.327551020408163,13.753632653061224,641.541,2.4064183196306117,3.016583599412018,1.7561255843104526,-2.7501798595058533,3.9164398714710744,-5.385577030240337,-3.353576748247809,0.47067893820046347,0.023888639686720392,0.6352692741135997
PL,2017,10.8295454545455,17.675,3.97727272727273,7.26,16.53,10.678775510204082,17.031224489795918,4.327551020408163,13.753632653061224,641.541,0.08751006915727495,0.4008289534411978,-0.17851756621315293,-3.7650451456305425,1.7154752638400412,-1.2856637982208545,-3.4846332252581416,-1.7409515670115252,-0.3205634140097638,0.6239690179331021
PL,2018,14.85078125,21.23671875,8.46171875,395.98,17.626328125,10.678775510204082,17.031224489795918,4.327551020408163,13.753632653061224,641.541,2.421520498723131,2.618434277635365,2.1069577415073786,-1.4576319502021686,2.392879780055562,-4.765633374459224,-1.4448870809089362,0.4313878653719694,0.06682912844147404,0.14238434409500966
PL,2021,14.4151785714286,20.375,8.4625,307.5,16.4447321428571,10.678775510204082,17.031224489795918,4.327551020408163,13.753632653061224,641.541,2.1686874775703484,2.0819090149492125,2.107355901631307,-1.982842691948162,1.6627895484967246,-4.267941686047707,-1.3017529144209616,-0.5075433477411277,-0.020001398827278305,0.08453667926513597
