PRISM Time Series Data
Locations: 14
"Climate variables: tmin,tmax"
Spatial resolution: 800m
Period: 2008-01 - 2022-12
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Dec-01
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,tmin (degrees C),tmax (degrees C)
CC,-105.8044,32.8038,2874,2008-01,-4.2,3.1
CC,-105.8044,32.8038,2874,2008-02,-2.6,5.6
CC,-105.8044,32.8038,2874,2008-03,-2.7,10.4
CC,-105.8044,32.8038,2874,2008-04,0.4,13.7
CC,-105.8044,32.8038,2874,2008-05,4.6,17.4
CC,-105.8044,32.8038,2874,2008-06,10.7,24.9
CC,-105.8044,32.8038,2874,2008-07,10.6,19.0
CC,-105.8044,32.8038,2874,2008-08,10.1,19.1
CC,-105.8044,32.8038,2874,2008-09,6.7,16.8
CC,-105.8044,32.8038,2874,2008-10,3.9,14.8
CC,-105.8044,32.8038,2874,2008-11,-0.3,10.0
CC,-105.8044,32.8038,2874,2008-12,-3.3,5.3
CC,-105.8044,32.8038,2874,2009-01,-2.6,6.9
CC,-105.8044,32.8038,2874,2009-02,-1.9,8.8
CC,-105.8044,32.8038,2874,2009-03,-0.7,10.0
CC,-105.8044,32.8038,2874,2009-04,-0.5,12.4
CC,-105.8044,32.8038,2874,2009-05,6.8,19.5
CC,-105.8044,32.8038,2874,2009-06,9.4,21.0
CC,-105.8044,32.8038,2874,2009-07,11.7,23.6
CC,-105.8044,32.8038,2874,2009-08,10.9,22.3
CC,-105.8044,32.8038,2874,2009-09,6.9,18.0
CC,-105.8044,32.8038,2874,2009-10,2.4,13.2
CC,-105.8044,32.8038,2874,2009-11,0.4,11.1
CC,-105.8044,32.8038,2874,2009-12,-5.9,1.3
CC,-105.8044,32.8038,2874,2010-01,-4.5,3.4
CC,-105.8044,32.8038,2874,2010-02,-5.1,2.3
CC,-105.8044,32.8038,2874,2010-03,-4.4,6.8
CC,-105.8044,32.8038,2874,2010-04,0.6,12.7
CC,-105.8044,32.8038,2874,2010-05,4.9,17.3
CC,-105.8044,32.8038,2874,2010-06,11.3,24.1
CC,-105.8044,32.8038,2874,2010-07,11.0,20.1
CC,-105.8044,32.8038,2874,2010-08,11.0,21.4
CC,-105.8044,32.8038,2874,2010-09,9.4,20.8
CC,-105.8044,32.8038,2874,2010-10,4.2,16.0
CC,-105.8044,32.8038,2874,2010-11,-2.3,9.4
CC,-105.8044,32.8038,2874,2010-12,-1.3,8.4
CC,-105.8044,32.8038,2874,2011-01,-4.6,5.3
CC,-105.8044,32.8038,2874,2011-02,-6.1,4.8
CC,-105.8044,32.8038,2874,2011-03,0.8,13.5
CC,-105.8044,32.8038,2874,2011-04,3.0,16.3
CC,-105.8044,32.8038,2874,2011-05,4.3,18.2
CC,-105.8044,32.8038,2874,2011-06,12.4,25.9
CC,-105.8044,32.8038,2874,2011-07,12.2,22.7
CC,-105.8044,32.8038,2874,2011-08,12.3,22.9
CC,-105.8044,32.8038,2874,2011-09,8.9,19.7
CC,-105.8044,32.8038,2874,2011-10,4.4,15.9
CC,-105.8044,32.8038,2874,2011-11,-0.8,8.3
CC,-105.8044,32.8038,2874,2011-12,-6.0,3.0
CC,-105.8044,32.8038,2874,2012-01,-2.6,6.8
CC,-105.8044,32.8038,2874,2012-02,-3.0,4.6
CC,-105.8044,32.8038,2874,2012-03,-0.7,9.5
CC,-105.8044,32.8038,2874,2012-04,3.2,16.1
CC,-105.8044,32.8038,2874,2012-05,6.5,18.1
CC,-105.8044,32.8038,2874,2012-06,12.4,25.1
CC,-105.8044,32.8038,2874,2012-07,11.1,20.9
CC,-105.8044,32.8038,2874,2012-08,11.5,22.2
CC,-105.8044,32.8038,2874,2012-09,8.1,19.3
CC,-105.8044,32.8038,2874,2012-10,6.0,16.8
CC,-105.8044,32.8038,2874,2012-11,1.6,11.8
CC,-105.8044,32.8038,2874,2012-12,-3.9,5.4
CC,-105.8044,32.8038,2874,2013-01,-6.6,2.6
CC,-105.8044,32.8038,2874,2013-02,-6.5,4.2
CC,-105.8044,32.8038,2874,2013-03,-0.5,10.2
CC,-105.8044,32.8038,2874,2013-04,1.6,14.0
CC,-105.8044,32.8038,2874,2013-05,5.1,17.9
CC,-105.8044,32.8038,2874,2013-06,13.1,24.4
CC,-105.8044,32.8038,2874,2013-07,10.4,19.6
CC,-105.8044,32.8038,2874,2013-08,11.0,20.5
CC,-105.8044,32.8038,2874,2013-09,8.8,16.7
CC,-105.8044,32.8038,2874,2013-10,3.8,14.0
CC,-105.8044,32.8038,2874,2013-11,-0.4,8.3
CC,-105.8044,32.8038,2874,2013-12,-3.6,4.5
CC,-105.8044,32.8038,2874,2014-01,-3.2,6.5
CC,-105.8044,32.8038,2874,2014-02,-1.0,8.3
CC,-105.8044,32.8038,2874,2014-03,-1.7,10.2
