PRISM Time Series Data
Locations: 14
"Climate variables: tmin,tmax"
Spatial resolution: 800m
Period: 2012-01-01 - 2012-12-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Aug-04
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,tmin (degrees C),tmax (degrees C)
CC,-105.8044,32.8038,2874,2012-01-01,1.7,10.0
CC,-105.8044,32.8038,2874,2012-01-02,1.7,10.2
CC,-105.8044,32.8038,2874,2012-01-03,-0.3,9.1
CC,-105.8044,32.8038,2874,2012-01-04,0.8,11.0
CC,-105.8044,32.8038,2874,2012-01-05,-1.6,7.7
CC,-105.8044,32.8038,2874,2012-01-06,2.3,9.7
CC,-105.8044,32.8038,2874,2012-01-07,-1.4,7.4
CC,-105.8044,32.8038,2874,2012-01-08,-1.9,7.6
CC,-105.8044,32.8038,2874,2012-01-09,-8.2,2.8
CC,-105.8044,32.8038,2874,2012-01-10,-7.6,-3.1
CC,-105.8044,32.8038,2874,2012-01-11,-3.7,5.3
CC,-105.8044,32.8038,2874,2012-01-12,-4.8,5.4
CC,-105.8044,32.8038,2874,2012-01-13,-6.0,2.9
CC,-105.8044,32.8038,2874,2012-01-14,-5.0,5.0
CC,-105.8044,32.8038,2874,2012-01-15,-1.2,9.7
CC,-105.8044,32.8038,2874,2012-01-16,-0.9,7.2
CC,-105.8044,32.8038,2874,2012-01-17,-3.5,1.4
CC,-105.8044,32.8038,2874,2012-01-18,-3.7,6.0
CC,-105.8044,32.8038,2874,2012-01-19,-0.9,8.3
CC,-105.8044,32.8038,2874,2012-01-20,1.0,12.6
CC,-105.8044,32.8038,2874,2012-01-21,1.8,10.3
CC,-105.8044,32.8038,2874,2012-01-22,-2.2,8.3
CC,-105.8044,32.8038,2874,2012-01-23,-6.0,3.8
CC,-105.8044,32.8038,2874,2012-01-24,-1.0,7.7
CC,-105.8044,32.8038,2874,2012-01-25,-6.4,1.3
CC,-105.8044,32.8038,2874,2012-01-26,-5.9,3.5
CC,-105.8044,32.8038,2874,2012-01-27,-0.9,8.7
CC,-105.8044,32.8038,2874,2012-01-28,-5.8,5.5
CC,-105.8044,32.8038,2874,2012-01-29,-6.5,6.0
CC,-105.8044,32.8038,2874,2012-01-30,-2.1,10.6
CC,-105.8044,32.8038,2874,2012-01-31,-1.3,8.8
CC,-105.8044,32.8038,2874,2012-02-01,-0.2,6.0
CC,-105.8044,32.8038,2874,2012-02-02,-1.4,8.8
CC,-105.8044,32.8038,2874,2012-02-03,-1.4,5.0
CC,-105.8044,32.8038,2874,2012-02-04,-6.6,4.2
CC,-105.8044,32.8038,2874,2012-02-05,-7.9,0.3
CC,-105.8044,32.8038,2874,2012-02-06,-8.2,1.6
CC,-105.8044,32.8038,2874,2012-02-07,-3.3,4.4
CC,-105.8044,32.8038,2874,2012-02-08,-6.2,3.1
CC,-105.8044,32.8038,2874,2012-02-09,-1.3,9.1
CC,-105.8044,32.8038,2874,2012-02-10,-3.2,4.6
CC,-105.8044,32.8038,2874,2012-02-11,-5.6,4.3
CC,-105.8044,32.8038,2874,2012-02-12,-3.1,8.1
CC,-105.8044,32.8038,2874,2012-02-13,-3.7,2.5
CC,-105.8044,32.8038,2874,2012-02-14,-4.0,2.0
CC,-105.8044,32.8038,2874,2012-02-15,-6.5,1.7
CC,-105.8044,32.8038,2874,2012-02-16,-8.0,2.8
CC,-105.8044,32.8038,2874,2012-02-17,-4.2,3.5
CC,-105.8044,32.8038,2874,2012-02-18,-4.2,2.5
CC,-105.8044,32.8038,2874,2012-02-19,-4.6,2.4
