network,file_name,plant_species,R
dominica_highland,dominica_high,hyptis_atrorubens,low
dominica_highland,dominica_high,heliconia_bihai,high
dominica_highland,dominica_high,stachytarpheta_urticifolia,med-high
dominica_highland,dominica_high,miconia_purpura,high
dominica_highland,dominica_high,renealmia_pyramidalis,med-high
dominica_highland,dominica_high,lobelia_stricta,med-high
dominica_highland,dominica_high,schradera_exotica,low-med
dominica_highland,dominica_high,manettia_dominicensis,med-high
dominica_highland,dominica_high,psychotria_urbaniana,high
dominica_highland,dominica_high,vaccinium_racemosu,low-med
dominica_highland,dominica_high,clusia_mangle,med 
dominica_highland,dominica_high,collandra_petiolaris,high
dominica_lowland,dominica_low,cordia_bullata,low-med
dominica_lowland,dominica_low,turnera_ulmifoli,low-med
dominica_lowland,dominica_low,morinda_citrifolia,low-med
dominica_lowland,dominica_low,tabebuia_heterophylla,low
dominica_lowland,dominica_low,tecoma_stans,low
dominica_lowland,dominica_low,erithalis_fruticosa,low
dominica_lowland,dominica_low,tephrosia_noctiflora,low-med
dominica_lowland,dominica_low,citharexylum_spinosum,low-med
dominica_lowland,dominica_low,stachytarpheta_jamaicensis,low-med
dominica_lowland,dominica_low,lonchocarpus_benthamianus,low-med
dominica_lowland,dominica_low,leonotis_nepetifolia,high
puertorico_high,puertorico_high,acinodendron_sintenisii,low-high
puertorico_high,puertorico_high,cestrum_macrophyllum,low-high
puertorico_high,puertorico_high,guzmania_berteroniana,med-high
puertorico_high,puertorico_high,impatiens_walleriana,low-med
puertorico_high,puertorico_high,neorudolphia_volubilis,high
puertorico_high,puertorico_high,palicourea_crocea,med-high
puertorico_high,puertorico_high,psychotria_berteroana,med
puertorico_high,puertorico_high,renealmia_alpinia,med-high
puertorico_high,puertorico_high,schlegelia_brachyantha,low-high
puertorico_high,puertorico_high,schradera_exotica,low-med
puertorico_high,puertorico_high,urena_lobata,low-med
Puertorico_low,puertorico_low,pentalinon_luteum,low-med
Puertorico_low,puertorico_low,pilosocereus_royenii,low
Puertorico_low,puertorico_low,melocactus_intortus,high
Puertorico_low,puertorico_low,consolea_rubescens,high
Puertorico_low,puertorico_low,tabebuia_heterophylla,low
grenada_elfin,grenada_elfin,psychotria_capitata,low-med
grenada_elfin,grenada_elfin,stachytarpheta_urticifoli,low-med
grenada_elfin,grenada_elfin,lobelia_cirsiifolia,high
grenada_elfin,grenada_elfin,scrophulariaceae_sp,low-med
grenada_elfin,grenada_elfin,charianthus_grenadensis,high
grenada_elfin,grenada_elfin,gonzalagunia_hirsuta,med
grenada_elfin,grenada_elfin,schradera_exotica,low-med
grenada_rainforest,grenada_rainforest,centropogon_cornutus,high
grenada_rainforest,grenada_rainforest,gonzalagunia_hirsuta,med
grenada_rainforest,grenada_rainforest,palicourea_crocea,med-high
grenada_rainforest,grenada_rainforest,justicia_secunda,high
grenada_rainforest,grenada_rainforest,syzygium_jambo,low-high
grenada_rainforest,grenada_rainforest,costus_scaber,med-high
grenada_rainforest,grenada_rainforest,heliconia_bihai,high
cuba,cuba,albizia_saman,low-med
cuba,cuba,antigonon_leptopus,low
cuba,cuba,clerodendrum_aculeatum,low
cuba,cuba,guazuma_ulmifolia,low
cuba,cuba,lysiloma_latisiliquum,low
cuba,cuba,pentalinon_luteum,low-med
cuba,cuba,tabernaemontana_alba,low-med
cuba,cuba,turnera_ulmifolia,low-med
jamaica,ingversen,dendropanax_arboreus,low-med
jamaica,ingversen,rubiaceae_sp1,low-med
jamaica,ingversen,byrsonima_sp,low
jamaica,ingversen,bignoniaceae_sp,low
jamaica,ingversen,rubiaceae_sp2,low-med
jamaica,ingversen,aechmea_paniculiger,med-high
