"Site","Year","MeanTmean","MeanTmax","MeanTmin","CumPrecip","MeanVPD"
"CH",2012,18.6868421052632,24.8754385964912,12.490350877193,308.33,24.6734210526316
"CH",2017,17.7814159292035,23.7725663716814,11.7840707964602,425.13,22.0503539823009
"CH",2018,18.3038461538462,24.3707692307692,12.2392307692308,452.69,22.2573846153846
"CH",2021,18.1895104895105,23.0496503496503,13.3265734265734,659.1,19.3988811188811
"CH",2022,17.5842975206612,23.3471074380165,11.8314049586777,857.23,19.4138016528926
"HM",2017,13.5111111111111,20.9969696969697,6.01111111111111,209.94,18.6655555555556
"HM",2018,14.5595238095238,22.2365079365079,6.85396825396825,364.75,20.2063492063492
"HM",2021,13.6910828025478,21.0152866242038,6.36433121019108,514.99,18.0322929936306
"HM",2022,13.8113402061856,21.3587628865979,6.27319587628866,246.01,19.309175257732
"JC",2012,13.2717948717949,20.2653846153846,6.25897435897436,106.16,18.9928205128205
"JC",2017,12.6081395348837,19.4011627906977,5.81395348837209,133.33,16.8996511627907
"JC",2018,14.4026086956522,21.0408695652174,7.76,286.81,18.594
"JC",2021,12.6908163265306,18.9295918367347,6.45204081632653,291.18,13.1902040816327
"MM",2012,14.9677083333333,21.1583333333333,8.77395833333333,185.63,20.5659375
"MM",2017,14.1559139784946,20.2881720430108,8.00215053763441,232.8,18.932688172043
"MM",2018,15.8731092436975,21.8924369747899,9.85210084033613,325.34,20.827731092437
"MM",2021,14.0874074074074,20.1340740740741,8.03851851851852,291.28,17.8477037037037
"MM",2022,13.375,20.4619047619048,6.28214285714286,211.46,19.8786904761905
"PL",2012,14.8247619047619,21.8761904761905,7.77333333333333,178.23,20.0920952380952
"PL",2017,10.8295454545455,17.675,3.97727272727273,7.26,16.53
"PL",2018,14.85078125,21.23671875,8.46171875,395.98,17.626328125
"PL",2021,14.4151785714286,20.375,8.4625,307.5,16.4447321428571
"PL",2022,14.5490566037736,20.5660377358491,8.53962264150943,409.04,16.17
"RP",2017,15.2229166666667,22.35,8.0875,33.55,23.7035416666667
"RP",2018,17.8564814814815,24.7268518518519,10.9824074074074,288.13,23.9112962962963
"RP",2021,17.2713286713287,22.3167832167832,12.227972027972,664.23,18.3763636363636
"RP",2022,16.7436974789916,22.7621848739496,10.7302521008403,877.39,18.8185714285714
"SC",2012,16.2488888888889,21.5255555555556,10.9555555555556,69.05,20.6112222222222
"SC",2017,14.9447916666667,20.43125,9.44479166666667,161.67,18.1494791666667
"SC",2018,16.6862068965517,22.0362068965517,11.3301724137931,198.4,20.2740517241379
"SC",2021,14.6354166666667,19.5125,9.771875,128.46,15.2302083333333
"SC",2022,13.620253164557,19.1632911392405,8.06708860759494,157.37,16.2029113924051
"SM",2017,10.1793103448276,17.6706896551724,2.68620689655172,61.49,17.266724137931
"SM",2018,13.3471074380165,21.3148760330578,5.37933884297521,205.01,20.3473553719008
"SM",2021,12.8824427480916,19.9908396946565,5.77480916030534,296.43,17.2306870229008
"SM",2022,12.5433333333333,19.9244444444444,5.16222222222222,223.69,17.7202222222222
"SS",2017,14.8180555555556,20.4444444444444,9.18333333333333,107.25,19.2847222222222
"UK",2017,14.1197183098592,19.9028169014084,8.31408450704225,98.09,18.36
"VC",2017,12.7970588235294,21.6911764705882,3.90980392156863,145.03,20.391568627451
